company,final_status,final_reason,last_verified,next_action
"Avanti Studios","FINAL HOLD - NOT CURRENT SEND","iGaming plus unresolved operating-company scale/entity risk","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Find My Factory","FINAL HOLD - NOT CURRENT SEND","Small procurement platform; insufficient scale for target senior permanent hire","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Anyfin","FINAL HOLD - NOT CURRENT SEND","Primarily D2C refinancing/financial-health model rather than international B2B new business","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"NDI","FINAL HOLD - NOT CURRENT SEND","Specialist professional-video/IP networking ecosystem inside wider group","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Leonh","FINAL HOLD - NOT CURRENT SEND","Small financial-services business; insufficient international scope/scale","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Evli AB","FINAL HOLD - NOT CURRENT SEND","Specialist investment-management/corporate-finance environment","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Hydroscand Group","FINAL HOLD - NOT CURRENT SEND","Large technically specialised industrial fluid-power group","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Rerun","FINAL HOLD - NOT CURRENT SEND","Highly technical physical-AI platform; current GTM-adjacent route not senior full-cycle sales","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Speria","FINAL HOLD - NOT CURRENT SEND","Large specialist livestock/food-production technology environment","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Wingbits","FINAL HOLD - NOT CURRENT SEND","Small aviation-data/DePIN/security/defence-adjacent specialist proposition","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"SAFIRA","FINAL HOLD - NOT CURRENT SEND","Consumer fashion/jewellery e-commerce and influencer-led model after acquisition","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Food Collective","FINAL HOLD - NOT CURRENT SEND","Small sector-specialist consulting/interim services rather than scalable product company","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Emfas","FINAL HOLD - NOT CURRENT SEND","Very small/founded 2024; international commercial maturity not sufficient","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Ovzon","ALREADY HANDLED","Newer challenge evidence verifies speculative outreach sent 2026-09-07 to Per Noren","2026-09-19","Do not duplicate outreach"
"Sudio","FINAL HOLD - NOT CURRENT SEND","International brand but operating company is too small for target senior permanent role","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Velory","LIVE ROLE - DIRECT APPLICATION","Current Account Executive vacancy supersedes speculative outreach","2026-09-19","Route through advertised-role workflow; do not send speculative outreach"
"0TO9 | Bank of Entrepreneurship","LIVE ROLE - DIRECT APPLICATION","Current Chief Commercial Officer vacancy supersedes speculative outreach","2026-09-19","Route through advertised-role workflow; do not send speculative outreach"
"Tendium","FINAL HOLD - NOT CURRENT SEND","Current sales structure is country/language segmented; no senior English-first international route","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Keo Capital / Maha Capital","FINAL HOLD - NOT CURRENT SEND","Investment/financial-services operating model requires further domain fit","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Imagimob","FINAL HOLD - NOT CURRENT SEND","Small specialist embedded Edge-AI company","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Innoscentia","FINAL HOLD - NOT CURRENT SEND","Very small specialist sensor/materials/food-packaging technology company","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Cary Group","FINAL HOLD - NOT CURRENT SEND","Pan-European service-execution model; no distinct autonomous international new-business remit","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Brickanta","LIVE ROLE - DIRECT APPLICATION","Current Account Executive role supersedes speculative outreach","2026-09-19","Route through advertised-role workflow; do not send speculative outreach"
"MyTelescope","FINAL HOLD - NOT CURRENT SEND","Very small AI market-intelligence company; insufficient scale","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Kaching","FINAL HOLD - NOT CURRENT SEND","Very small loyalty/cashback fintech; insufficient scale/resources","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Swimbird","FINAL HOLD - NOT CURRENT SEND","Small specialist financial-market technology business","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Magma Math","LIVE ROLE - DIRECT APPLICATION","Current Account Executive Sweden role supersedes speculative outreach","2026-09-19","Route through advertised-role workflow; do not send speculative outreach"
"Cay Collective","FINAL HOLD - NOT CURRENT SEND","Consumer/creator marketplace rather than consultative B2B new business","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Hubert","FINAL HOLD - NOT CURRENT SEND","Small AI hiring SaaS; no substantive senior international mandate verified","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Lassie","FINAL HOLD - NOT CURRENT SEND","International but fundamentally D2C insurance; no suitable B2B mandate","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Burman Enterprise","FINAL HOLD - NOT CURRENT SEND","Very small lifestyle/home brand group; commercial maturity insufficient","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Dentio","FINAL HOLD - NOT CURRENT SEND","Small dental-AI business with Nordic/local GTM and clinical-domain risk","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"eComID","FINAL HOLD - NOT CURRENT SEND","Very small e-commerce SaaS; scale/resources remain binding","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"NexBlue","FINAL HOLD - NOT CURRENT SEND","International EV-charging company but still too small for target senior permanent remit","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"ELK Studios","FINAL HOLD - NOT CURRENT SEND","Specialist regulated iGaming ecosystem","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Motorica","FINAL HOLD - NOT CURRENT SEND","Small specialist game-development/animation technology company","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"norbloc","FINAL HOLD - NOT CURRENT SEND","KYC/AML/RegTech domain knowledge is a material hard requirement","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Nordiska","FINAL HOLD - NOT CURRENT SEND","Bank/embedded-finance proposition depends materially on financial-industry expertise","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Einride","FINAL HOLD - NOT CURRENT SEND","Current route has Nordic-language gap plus specialist freight/EV/autonomy context","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Circulose","FINAL HOLD - NOT CURRENT SEND","Specialist textile/materials technology embedded in fashion supply chain","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Junipeer","FINAL HOLD - NOT CURRENT SEND","Strong e-commerce iPaaS proposition but approximately 11-person company remains below maturity threshold","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Internet Vikings","FINAL HOLD - NOT CURRENT SEND","Specialist hosting/cloud infrastructure for iGaming and betting","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Hailey HR","ALREADY HANDLED","Canonical applications history verifies speculative outreach sent 2026-08-03 to Anders Ragnarsson","2026-09-19","Do not duplicate outreach"
"Endra","FINAL HOLD - NOT CURRENT SEND","Small MEP/BIM engineering software company; specialist construction-engineering domain","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Antrino Labs","FINAL HOLD - NOT CURRENT SEND","Very small advanced AI/computer-vision/security platform","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Northern Insights","FINAL HOLD - NOT CURRENT SEND","Small expert-network/project transaction model rather than durable product-led sales","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Kive","FINAL HOLD - NOT CURRENT SEND","Small AI visual-content SaaS; commercial maturity/direct senior recipient not sufficient","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Hyperight AB","FINAL HOLD - NOT CURRENT SEND","Small events/media/membership business rather than preferred product-led sale","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"DigiProc","FINAL HOLD - NOT CURRENT SEND","Small company; current sales route is junior and Swedish-language gated","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Centi","FINAL HOLD - NOT CURRENT SEND","Very small specialist private-equity/M&A platform with finance/legal domain gate","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Miss Group","FINAL HOLD - NOT CURRENT SEND","International scale but high-volume hosting/domain sales model mismatches preferred consultative remit","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Haypp Group","FINAL HOLD - NOT CURRENT SEND","Regulated nicotine/tobacco-alternative consumer e-commerce model","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"POC","FINAL HOLD - NOT CURRENT SEND","No suitable current English-first senior international commercial route","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Encube","FINAL HOLD - NOT CURRENT SEND","Industrial engineering/manufacturability AI requires meaningful domain credibility","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Slotmill","FINAL HOLD - NOT CURRENT SEND","Small specialist online-casino content supplier","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"SWATI Cosmetics","FINAL HOLD - NOT CURRENT SEND","Strong channel fit but very small core operating team/resource risk","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Care to Translate","FINAL HOLD - NOT CURRENT SEND","Worldwide use but approximately 12-person company; scale/resources insufficient","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Syncron","FINAL HOLD - NOT CURRENT SEND","Manufacturing/aftermarket service-lifecycle domain remains materially specialist","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Platform24","FINAL HOLD - NOT CURRENT SEND","Clinical care/triage healthcare domain remains material","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Omocom","FINAL HOLD - NOT CURRENT SEND","Approximately 18-person embedded-insurance company; regulated context plus scale","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"GreenIron","FINAL HOLD - NOT CURRENT SEND","Deep industrial/metallurgical proposition","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Enerpoly","FINAL HOLD - NOT CURRENT SEND","Small deep-tech battery/electrochemistry company","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Arelion","FINAL HOLD - NOT CURRENT SEND","Specialist IP transit/network infrastructure; deep telecom credibility material","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Nextory","FINAL HOLD - NOT CURRENT SEND","Primarily consumer subscription/country-growth model; no suitable current new-business mandate","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"BookBeat","FINAL HOLD - NOT CURRENT SEND","Predominantly B2C subscription model; no suitable current senior partner-sales mandate","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Zimpler","FINAL HOLD - NOT CURRENT SEND","Post-acquisition payments organisation plus specialist payments/iGaming uncertainty","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Normative","FINAL HOLD - NOT CURRENT SEND","Recent merger means commercial organisation/decision-maker is actively changing","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Trustly","FINAL HOLD - NOT CURRENT SEND","Large specialist payments/financial-infrastructure organisation","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Brite Payments","FINAL HOLD - NOT CURRENT SEND","Current senior BD route requires enterprise-payments track record/network","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Polarium","FINAL HOLD - NOT CURRENT SEND","Energy-storage technology and scale create specialist-domain risk","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Envac","FINAL HOLD - NOT CURRENT SEND","Technically specialised infrastructure proposition with regional/local commercial structure","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Marshall Group","FINAL HOLD - NOT CURRENT SEND","Premium-brand transferability but company scale and no autonomous current international mandate","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Storytel","FINAL HOLD - NOT CURRENT SEND","Consumer subscription/publishing model; no suitable revenue-owning international new-business mandate","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Oneflow","FINAL HOLD - NOT CURRENT SEND","Strong SaaS fit but current Stockholm AE requires fluent Swedish","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Cint","FINAL HOLD - NOT CURRENT SEND","Ownership transition plus scale/research-measurement domain risk","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Truecaller","FINAL HOLD - NOT CURRENT SEND","Large communications-identity platform; no suitable senior international B2B route","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Alight","FINAL HOLD - NOT CURRENT SEND","Specialist utility-scale solar/PPA environment","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Ingrid Capacity","FINAL HOLD - NOT CURRENT SEND","Specialist grid-scale battery/energy-market infrastructure","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Matsmart Motatos","FINAL HOLD - NOT CURRENT SEND","Predominantly consumer e-commerce; no suitable B2B international mandate","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Lovable","FINAL HOLD - NOT CURRENT SEND","Current full-cycle role requires fluency in a Nordic language","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
